Sentence,Sentiment,Sentence_clear
"On #FEDDAY looking for a sharp move up in equities $AAPL $HD $LOW $FB seeing $UVXY $TVIX getting hammered, even though market is down.",positive,fedday look sharp move equity aapl hd low fb see uvxy tvix get hammer even though market
"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",positive,net sale total eur 936 mn eur 932 mn correspond period 2005
As a consequence the Works Council had withdrawn its petition to suspend the reorganisation .,neutral,consequence works council withdraw petition suspend reorganisation
CEO Erkki J+ñrvinen is happy with the company 's performance in 2010 .,positive,ceo erkki jñrvinen happy company performance 2010
"Comparable net sales are expected to increase more than 10 % in 2008 , in line with group target .",positive,comparable net sale expect increase 10 2008 line group target
"Following the transaction , Lundbeck has worldwide rights for nalmefene , excluding North America , Mexico , Turkey and South-Korea .",positive,follow transaction lundbeck worldwide right nalmefene exclude north america mexico turkey southkorea
"The government started the sell-off last month , putting an 8 percent stake in TeliaSonera on the auction bloc .",neutral,government start selloff last month put 8 percent stake teliasonera auction bloc
"The report goes on to provide detailed profiles of ten leading European specialty chemicals companies , and brief profiles of other major players .",neutral,report go provide detailed profile ten lead european specialty chemical company brief profile major player
"Both operating profit and net sales for the three-month period increased , respectively from EUR16 .0 m and EUR139m , as compared to the corresponding quarter in 2006 .",positive,operate profit net sale threemonth period increase respectively eur16 0 eur139 m compare correspond quarter 2006
The company expects its net sales for the whole 2009 to be at previous year levels .,neutral,company expect net sale whole 2009 previous year level
"The company is headquartered in Sievi , Finland , and is listed on the Nordic Exchange in Helsinki .",neutral,company headquarter sievi finland list nordic exchange helsinki
"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",positive,commission income increase 22 eur 44 mn lending volume rise 135
"The Finnish company sold its UK operation - consisting of 50 staff in offices in London , Birmingham and Manchester - as part of a deal with Hampden in July 2001 for its European-wide property and casualty arm Sampo Industrial .",neutral,finnish company sell uk operation consist 50 staff office london birmingham manchester part deal hampden july 2001 europeanwide property casualty arm sampo industrial
"In the building and home improvement trade , sales decreased by 22.5 % to EUR 201.4 mn .",negative,build home improvement trade sale decrease 225 eur 2014 mn
"The Innova 2 building will be located close to downtown , in the immediate vicinity of Paviljonki and the travel center , and within walking distance from the heart of the city thanks to the trade fair bridge .",neutral,innova 2 building locate close downtown immediate vicinity paviljonki travel center within walking distance heart city thank trade fair bridge
"Finnish textiles and clothing group Marimekko Oyj posted a net profit of 7.99 mln euro $ 10.4 mln for 2006 , compared to 8.4 mln euro $ 10.9 mln for 2005 .",neutral,finnish textile clothing group marimekko oyj post net profit 799 mln euro 104 mln 2006 compare 84 mln euro 109 mln 2005
The main strength of the cooperation project lies in merging the know-how of two large companies .,positive,main strength cooperation project lie merge knowhow two large company
Shareholders have a right to put on the agenda of the AGM items that are within the competence of the general meeting .,neutral,shareholder right put agenda agm item within competence general meeting
Kazgiprotsvetmet and Outotec Finland have signed an agreement on strategic cooperation in the marketing and providing of minerals processing and metallurgical plants and related services in Kazakhstan and the surrounding countries .,positive,kazgiprotsvetmet outotec finland sign agreement strategic cooperation marketing provide mineral process metallurgical plant relate service kazakhstan surround country
"Due to the rapid decrease in net sales , personnel reductions have been carried out on a wider scale than initially expected .",neutral,due rapid decrease net sale personnel reduction carry wide scale initially expect
The government has instead proposed an exchange of the state 's stake in LMT to TeliaSonera 's stake in Lattelecom .,neutral,government instead propose exchange state stake lmt teliasonera stake lattelecom
Stora is due to release its fourth-quarter and 2009 full-year earnings on Feb. 4 .,neutral,stora due release fourthquarter 2009 fullyear earning feb 4
Full-year operating result for 2008 was 3.6 million negative .,neutral,fullyear operating result 2008 36 million negative
$NQ got hit hard lower this AM --> looks like it has found support a 18.89 http://stks.co/s052z,negative,nq get hit hard low look like find support 1889 httpstkscos052z
"In 2008 , AVC Systemhaus had net sales of EUR 10 million USD 7.1 m .",neutral,2008 avc systemhaus net sales eur 10 million usd 71
"The company has established a 3G base station at about 17,000 feet at the foot of Mount Everest that will enable mountain climbers at the 29,035-foot summit to surf the Internet and even send videos of their exploits .",positive,company establish 3 g base station 17000 foot foot mount everest enable mountain climber 29035foot summit surf internet even send video exploit
We offer our customers solutions based on renewable raw materials .,neutral,offer customer solution base renewable raw material
A survey conducted by Taloustutkimus for Sampo Life shows that companies are badly prepared to losing key staff members .,neutral,survey conduct taloustutkimus sampo life show company badly prepare lose key staff member
"Antti Orkola , president of Kemira GrowHow 's Industrial Solutions unit , told Thomson Financial News the company has put off opening the mine as prices of phosphate have been ` quite depressed for a long time ' . '",neutral,antti orkola president kemira growhow industrial solution unit tell thomson financial news company put open mine price phosphate quite depressed long time
The pretax profit of the group 's life insurance business increased to EUR36m from EUR27m .,positive,pretax profit group life insurance business increase eur36 m eur27 m
We make available the following brand-new market analyses Cement - Pakistan Cement - Malaysia Cement - Taiwan Cement - Philippines These analyses give a clear overview of the actual situation and future outlook of the cement industry in some Asian countries .,neutral,make available follow brandnew market analyse cement pakistan cement malaysia cement taiwan cement philippine analysis give clear overview actual situation future outlook cement industry asian country
"The Company serves approximately 3,000 customers in over 100 countries .",neutral,company serve approximately 3000 customer 100 country
RT @alphatrends VMarkets Are Still Acting Weak http://stks.co/1agn  $SPY $QQQ $XLF $SMH $IWM,negative,rt alphatrend vmarket still act weak httpstksco1agn spy qqq xlf smh iwm
"Operating profit totalled EUR 30.2 mn , down from EUR 43.8 mn a year earlier .",neutral,operating profit total eur 302 mn eur 438 mn year early
"One of the installed elevators will be a double-deck elevator , which enables more efficient use of the building 's core space .",positive,one instal elevator doubledeck elevator enable efficient use build core space
HELSINKI ( AFX ) - Outokumpu said it has agreed to sell the Hitura nickel mine in Finland to Canadian group Belvedere Resources Ltd for 10 mln eur worth of Belvedere shares .,neutral,helsinki afx outokumpu say agree sell hitura nickel mine finland canadian group belvedere resources ltd 10 mln eur worth belvedere share
Just went long $ILMN,positive,go long ilmn
`` Social networking and location-based service trends comprise a significant share of the Internet traffic today and are appealing to MID users .,neutral,social network locationbased service trend comprise significant share internet traffic today appeal mid user
A total 30 % of the order value was booked in the fourth quarter of 2009 and the remainder will be booked in the second quarter of 2010 .,neutral,total 30 order value book fourth quarter 2009 remainder book second quarter 2010
