sentence,sentiment,sentence_clear,sentence_pt
"A total six of the polled analysts rated M-real -- two gave `` buy '' - `` accumulate '' , three gave `` hold '' and only one gave `` sell '' .",neutral,"A total six of the polled analysts rated M-real -- two gave `` buy '' - `` accumulate '' , three gave `` hold '' and only one gave `` sell '' .","Dos analistas consultados, seis classificaram a M-real como ""compra"" ou ""acumulação"", três como ""manter"" e apenas um como ""venda""."
"In September 2010 , the Finnish group agreed to buy Danish company Rose Poultry A-S for up to EUR23 .9 m in a combination of cash and stock .",positive,"In September 2010 , the Finnish group agreed to buy Danish company Rose Poultry A-S for up to EUR23 .9 m in a combination of cash and stock .","Em setembro de 2010, o grupo finlandês concordou em comprar a empresa dinamarquesa Rose Poultry A-S por até 23,9 milhões de euros, numa combinação de dinheiro e ações."
$YANG Double bottom 5.2,positive,YANG Double bottom 5.2,YANG Fundo duplo 5.2
Tesco share price down as grocer faces SFO investigation outcome,negative,Tesco share price down as grocer faces SFO investigation outcome,"As ações da Tesco caem devido ao resultado da investigação do SFO (Serious Fraud Office, Escritório de Fraudes Graves)"
$aapl news is becoming very bullish again http://stks.co/tMU,positive,aapl news is becoming very bullish again http://stks.co/tMU,As notícias da AAPL estão se tornando muito otimistas novamente http://stks.co/tMU
"GS Engineering will install the valves at a liquefied natural gas LNG plant it has built for UAE LNG extraction and gas plants operator GASCO in Ruwais , UAE .",neutral,"GS Engineering will install the valves at a liquefied natural gas LNG plant it has built for UAE LNG extraction and gas plants operator GASCO in Ruwais , UAE .","A GS Engineering instalará as válvulas em uma planta de gás natural liquefeito (GNL) que construiu para a GASCO, operadora de plantas de extração e processamento de GNL dos Emirados Árabes Unidos, em Ruwais."
The percentages of shares and voting rights have been calculated in proportion to the total number of shares registered with the Trade Register and the total number of voting rights related to them .,neutral,The percentages of shares and voting rights have been calculated in proportion to the total number of shares registered with the Trade Register and the total number of voting rights related to them .,As percentagens de ações e direitos de voto foram calculadas em proporção ao número total de ações registadas no Registo Comercial e ao número total de direitos de voto a elas associados.
"M-Real said there are ` no grounds ' for the rumors , which ` have been circulating in the market for some months . '",neutral,"M-Real said there are ` no grounds ' for the rumors , which ` have been circulating in the market for some months . '","M-Real afirmou que não há fundamento para os rumores, que circulam no mercado há alguns meses."
"Lember said the matter was topical also in Estonia , where a bill has been drafted at the Social Affairs Ministry that would scrap old-age pensions on favorable conditions .",neutral,"Lember said the matter was topical also in Estonia , where a bill has been drafted at the Social Affairs Ministry that would scrap old-age pensions on favorable conditions .","Lember afirmou que o assunto também é atual na Estônia, onde um projeto de lei foi elaborado no Ministério de Assuntos Sociais para acabar com as pensões de velhice em condições favoráveis."
- Moody 's said it gave P A1 long-term senior unsecured and P P-1 short-term debt ratings to Finnish lender Aktia Bank 's EUR1bn USD1 .4 bn euro medium-term note EMTN program of 25 March 2011 .,neutral,- Moody 's said it gave P A1 long-term senior unsecured and P P-1 short-term debt ratings to Finnish lender Aktia Bank 's EUR1bn USD1 .4 bn euro medium-term note EMTN program of 25 March 2011 .,"- A Moody's afirmou ter atribuído classificações de dívida sênior não garantida de longo prazo P A1 e de dívida de curto prazo P P-1 ao programa de notas de médio prazo EMTN (Notas de Mercado Estrangeiro) de € 1 bilhão (US$ 1,4 bilhão) do banco finlandês Aktia Bank, de 25 de março de 2011."
$TSLA recall,negative,TSLA recall,recall da TSLA
"The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 ) .",neutral,"The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 ) .","O fornecimento de liquidez foi interrompido em 11 de maio de 2007, quando as ações da Aspocomp Group Oyj foram negociadas abaixo de 0,50 centavos (comunicado da Aspocomp à bolsa de valores em 11/05/2007)."
Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent,positive,Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent,"A Hargreaves Lansdown desafia a fraqueza do mercado e registra alta de 2,6% em seus ativos."
"At 12.59 pm , the OMX Helsinki 25 index was 0.32 pct lower at 2,694.81 .",negative,"At 12.59 pm , the OMX Helsinki 25 index was 0.32 pct lower at 2,694.81 .","Às 12h59, o índice OMX Helsinki 25 estava 0,32% mais baixo, em 2.694,81."
"The decision means temporary lay-offs of fixed duration at the company 's Nastola and Jyvaskyla units , in southern and central Finland , respectively .",neutral,"The decision means temporary lay-offs of fixed duration at the company 's Nastola and Jyvaskyla units , in southern and central Finland , respectively .","A decisão implica em demissões temporárias por tempo indeterminado nas unidades da empresa em Nastola e Jyvaskyla, no sul e centro da Finlândia, respectivamente."
The value of the orders is over EUR 10mn .,neutral,The value of the orders is over EUR 10mn .,O valor das encomendas ultrapassa os 10 milhões de euros.
Ms Laakso will be responsible for HKScan 's HR functions and for their development in all of the Group ` smarket areas .,neutral,Ms Laakso will be responsible for HKScan 's HR functions and for their development in all of the Group ` smarket areas .,A Sra. Laakso será responsável pelas funções de RH da HKScan e pelo seu desenvolvimento em todas as áreas de mercado do Grupo.
"Fiskars is also engaged in the global supply of marine and energy equipment solutions and services through its associated company , Wartsila Corporation .",neutral,"Fiskars is also engaged in the global supply of marine and energy equipment solutions and services through its associated company , Wartsila Corporation .","A Fiskars também atua no fornecimento global de soluções e serviços para equipamentos marítimos e de energia por meio de sua empresa associada, a Wartsila Corporation."
Aberdeen Asset Management Gains Foothold In China,positive,Aberdeen Asset Management Gains Foothold In China,A Aberdeen Asset Management ganha terreno na China.
Finland 's dominating rail company VR is planning to set the infected passengers for long-distance trip in a separate carriage .,neutral,Finland 's dominating rail company VR is planning to set the infected passengers for long-distance trip in a separate carriage .,"A VR, empresa ferroviária dominante na Finlândia, planeja acomodar os passageiros infectados em viagens de longa distância em vagões separados."
"In November , the Finnish government decreased its ownership in the company further to 31.1 percent from 38 percent .",neutral,"In November , the Finnish government decreased its ownership in the company further to 31.1 percent from 38 percent .","Em novembro, o governo finlandês reduziu ainda mais sua participação na empresa, de 38% para 31,1%."
"Finnish Exel Composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by 0.6 % in the second quarter of 2010 to EUR 19.2 mn from EUR 19.3 mn in the corresponding period in 2009 .",neutral,"Finnish Exel Composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by 0.6 % in the second quarter of 2010 to EUR 19.2 mn from EUR 19.3 mn in the corresponding period in 2009 .","A empresa finlandesa Exel Composites, uma empresa de tecnologia que projeta, fabrica e comercializa perfis e tubos de compósitos para diversas aplicações industriais, relata que suas vendas líquidas diminuíram 0,6% no segundo trimestre de 2010, para € 19,2 milhões, em comparação com € 19,3 milhões no mesmo período de 2009."
"Of Bavelloni 's and NST 's joint ventures , Bavelloni Tools , completes semiproducts that are produced in Italy into high-quality tools that will be sold under the DiaPol brand .",neutral,"Of Bavelloni 's and NST 's joint ventures , Bavelloni Tools , completes semiproducts that are produced in Italy into high-quality tools that will be sold under the DiaPol brand .","A Bavelloni Tools, uma joint venture entre a Bavelloni e a NST, transforma semiacabados produzidos na Itália em ferramentas de alta qualidade que serão comercializadas sob a marca DiaPol."
The tool is a patent pending design that allows consumers to lay out their entire project on a removable plate using multiple clear stamps of any kind .,neutral,The tool is a patent pending design that allows consumers to lay out their entire project on a removable plate using multiple clear stamps of any kind .,A ferramenta é um projeto com patente pendente que permite aos consumidores organizar todo o seu projeto em uma placa removível usando vários carimbos transparentes de qualquer tipo.
$GOOGL is a short below 740 into the upper BB and is overbought,negative,GOOGL is a short below 740 into the upper BB and is overbought,"GOOGL está em posição vendida abaixo de 740, na banda de Bollinger superior, e encontra-se sobrecomprada."
"LIGHTS OUT Before curfew , curl up with the latest bestseller and treat your eyes to the perfect reading light from Luceplan .",neutral,"LIGHTS OUT Before curfew , curl up with the latest bestseller and treat your eyes to the perfect reading light from Luceplan .","APAGÃO DAS LUZES Antes do toque de recolher, aconchegue-se com o último best-seller e mime seus olhos com a luz de leitura perfeita da Luceplan."
"UPM-Kymmene Corp. , the world 's largest maker of magazine paper , on Tuesday reported a 19-percent profit drop as lower paper prices , higher costs and a strong euro hurt revenue .",negative,"UPM-Kymmene Corp. , the world 's largest maker of magazine paper , on Tuesday reported a 19-percent profit drop as lower paper prices , higher costs and a strong euro hurt revenue .","A UPM-Kymmene Corp., maior fabricante mundial de papel para revistas, anunciou na terça-feira uma queda de 19% no lucro, devido à redução dos preços do papel, ao aumento dos custos e à valorização do euro, que afetaram negativamente a receita."
The total value of the contract is some EUR 8 million .,neutral,The total value of the contract is some EUR 8 million .,O valor total do contrato é de cerca de 8 milhões de euros.
